dataset,run_name,mode,recon_mean_rel_err,recon_median_rel_err,recon_max_rel_err,recon_rmse,cp_precision,cp_recall,cp_f1,cp_n_true,cp_n_pred,cp_count_error,n_hidden,hidden_dim,warmup_epochs,ramp_epochs,stage1_sigma
data\datasets\validation_dataset\iaq_varyQ_seg11_seed12.csv,Easy_ensemble_11,Q,0.2117776617377619,0.19686709877614605,0.4164588803992899,57.681122269680536,0.6363636363636364,0.7,0.6666666666666666,10,11,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg11_seed12.csv,Easy_ensemble_12,Q,0.20391720651110556,0.15211137764639718,0.6111169000907707,74.4220954951643,0.6363636363636364,0.7,0.6666666666666666,10,11,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg11_seed12.csv,Easy_ensemble_13,Q,0.17117214738791117,0.1627663175552448,0.3916819001229494,46.79917502177227,0.6363636363636364,0.7,0.6666666666666666,10,11,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg11_seed12.csv,Easy_ensemble_14,Q,0.18179495784290436,0.1711010438567485,0.351030504398708,50.30569671699894,0.6363636363636364,0.7,0.6666666666666666,10,11,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg11_seed12.csv,Easy_ensemble_15,Q,0.23401628351699508,0.22998423796496464,0.3569628900285061,63.79214604437053,0.6363636363636364,0.7,0.6666666666666666,10,11,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg11_seed12.csv,Easy_ensemble_16,Q,0.2139456910972515,0.20942686902341104,0.42010511996639655,58.81420889248628,0.7272727272727273,0.8,0.761904761904762,10,11,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg11_seed12.csv,Easy_ensemble_17,Q,0.1984425358881206,0.18571132492857914,0.32587468979365736,54.17840385867617,0.5454545454545454,0.6,0.5714285714285713,10,11,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg11_seed12.csv,Easy_ensemble_18,Q,0.1929436352176668,0.18942399146775243,0.4110508599266762,52.42418913256785,0.6363636363636364,0.7,0.6666666666666666,10,11,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg11_seed12.csv,Easy_ensemble_19,Q,0.1842932872502572,0.1715396498171061,0.3531215328650627,50.94646746223005,0.5454545454545454,0.6,0.5714285714285713,10,11,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg11_seed12.csv,Easy_ensemble_20,Q,0.18483443910994435,0.17056415657502894,0.4196110570907674,50.33520227499868,0.5454545454545454,0.6,0.5714285714285713,10,11,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_1,Q,0.35849540705373983,0.3196845664026257,0.52977511906038,163.36141496144018,0.8,0.8888888888888888,0.8421052631578948,9,10,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_2,Q,0.35922130441374195,0.3337032283841031,0.4966986098816153,155.40129344812712,0.7,0.7777777777777778,0.7368421052631577,9,10,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_3,Q,0.4059282281978762,0.3381818195603954,0.6357807328339674,194.2017728081391,0.7,0.7777777777777778,0.7368421052631577,9,10,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_4,Q,0.39263128579171225,0.3222222711860858,0.6013393770607076,190.3175204951164,0.8,0.8888888888888888,0.8421052631578948,9,10,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_5,Q,0.37505273204107786,0.3176372534386774,0.5976215401074874,180.73418061568748,0.8,0.8888888888888888,0.8421052631578948,9,10,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_6,Q,0.3848225341254345,0.3213744411030307,0.5432523033572451,177.89696637925118,0.7,0.7777777777777778,0.7368421052631577,9,10,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_7,Q,0.38734811239049777,0.3247284912205014,0.6102230432966241,186.16548206585878,0.8,0.8888888888888888,0.8421052631578948,9,10,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_8,Q,0.3677689762503611,0.3324624879935094,0.5085229668427722,161.84489187952323,0.7,0.7777777777777778,0.7368421052631577,9,10,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_9,Q,0.39867909729374545,0.3171197096445218,0.6348711304588112,193.06906848368507,0.8,0.8888888888888888,0.8421052631578948,9,10,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_10,Q,0.39667352320614974,0.3176359760258817,0.636635440660835,191.6976506397289,0.8,0.8888888888888888,0.8421052631578948,9,10,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_11,Q,0.3661555787239234,0.3338115670717655,0.5254330038601369,159.0274719327713,0.7,0.7777777777777778,0.7368421052631577,9,10,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_12,Q,0.37832532457505996,0.3146007306255927,0.5414869463216312,174.72736543883096,0.7,0.7777777777777778,0.7368421052631577,9,10,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_13,Q,0.3566378055860636,0.32756366249018054,0.5049161879261925,154.39802111450035,0.8,0.8888888888888888,0.8421052631578948,9,10,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_14,Q,0.3794230502737633,0.31610386073265917,0.5880927686833881,179.9383914528246,0.8,0.8888888888888888,0.8421052631578948,9,10,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_15,Q,0.3567598527962611,0.33389539889852904,0.48861403565543365,154.05250833106277,0.7,0.7777777777777778,0.7368421052631577,9,10,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_16,Q,0.38705678667610827,0.3284876457601254,0.5467769219400229,178.6797728502707,0.6,0.6666666666666666,0.631578947368421,9,10,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_17,Q,0.38491572078720326,0.32021951114257213,0.5431996127105253,177.99007869762073,0.7,0.7777777777777778,0.7368421052631577,9,10,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_18,Q,0.38857965116425025,0.3375874072921679,0.5668998235410614,179.7133836983886,0.6,0.6666666666666666,0.631578947368421,9,10,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_19,Q,0.38217647794710646,0.32333980806595813,0.5396620920445406,176.11823954610233,0.7,0.7777777777777778,0.7368421052631577,9,10,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_20,Q,0.3792796231195028,0.3257397550601737,0.5824181861227327,178.64962657199933,0.8,0.8888888888888888,0.8421052631578948,9,10,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,Hard_ensemble_1,Q,0.5720769765688073,0.6571070677499113,0.7441483707345876,374.11877089788356,0.4444444444444444,0.5714285714285714,0.5,7,9,2,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,Hard_ensemble_2,Q,0.5026627445596074,0.6039902005982936,0.6636666016642361,327.5627284406577,0.4444444444444444,0.5714285714285714,0.5,7,9,2,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,Hard_ensemble_3,Q,0.5891749306169607,0.6476319941114153,0.765638361794677,388.1006465454822,0.3333333333333333,0.42857142857142855,0.375,7,9,2,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,Hard_ensemble_4,Q,0.5476595639237977,0.7063165689839427,0.7538315939964787,371.23117527745086,0.1111111111111111,0.14285714285714285,0.125,7,9,2,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,Hard_ensemble_5,Q,0.5462173805510485,0.7051759727158469,0.7538754852635362,370.26397974113706,0.1111111111111111,0.14285714285714285,0.125,7,9,2,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,Hard_ensemble_6,Q,0.5293898499130263,0.5061316719038361,0.7287605137864195,341.340367184292,0.4444444444444444,0.5714285714285714,0.5,7,9,2,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,Hard_ensemble_7,Q,0.5346456489548143,0.6296836009754215,0.726890344362228,359.6447346664164,0.5555555555555556,0.7142857142857143,0.6250000000000001,7,9,2,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,Hard_ensemble_8,Q,0.58805123199989,0.642937874571256,0.7471958006053785,385.824696897954,0.3333333333333333,0.42857142857142855,0.375,7,9,2,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,Hard_ensemble_9,Q,0.5896867401313384,0.6461810087167623,0.7767780695906427,389.2877190474706,0.3333333333333333,0.42857142857142855,0.375,7,9,2,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,Hard_ensemble_10,Q,0.5549783167384917,0.6591044901616107,0.7425196271491099,368.7152363028163,0.4444444444444444,0.5714285714285714,0.5,7,9,2,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,Hard_ensemble_11,Q,0.5651559540549655,0.6742489643435273,0.691529812104249,367.9695784365205,0.5555555555555556,0.7142857142857143,0.6250000000000001,7,9,2,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,Hard_ensemble_12,Q,0.5105345329124703,0.4924765756291027,0.6836790516936307,328.837321101694,0.5555555555555556,0.7142857142857143,0.6250000000000001,7,9,2,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,Hard_ensemble_13,Q,0.48210520537318924,0.4561219247366296,0.7402945815179699,317.56879424037174,0.4444444444444444,0.5714285714285714,0.5,7,9,2,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,Hard_ensemble_14,Q,0.5220470755073641,0.579756604987553,0.7155821090106439,344.7533215755826,0.4444444444444444,0.5714285714285714,0.5,7,9,2,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,Hard_ensemble_15,Q,0.5649019276314844,0.6766185563364394,0.6870358704323964,367.20280835171354,0.5555555555555556,0.7142857142857143,0.6250000000000001,7,9,2,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,Hard_ensemble_16,Q,0.5131015163353997,0.5509745352499807,0.722532472724057,340.99481248085095,0.3333333333333333,0.42857142857142855,0.375,7,9,2,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,Hard_ensemble_17,Q,0.5416584858368841,0.6361151923521947,0.7259723760851714,361.56147198579123,0.5555555555555556,0.7142857142857143,0.6250000000000001,7,9,2,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,Hard_ensemble_18,Q,0.5630832238679977,0.574022334000257,0.7366760980036497,369.04262369540714,0.4444444444444444,0.5714285714285714,0.5,7,9,2,3,64,1500,1100,6.177938360791919
