dataset,run_name,mode,recon_mean_rel_err,recon_median_rel_err,recon_max_rel_err,recon_rmse,cp_precision,cp_recall,cp_f1,cp_n_true,cp_n_pred,cp_count_error,n_hidden,hidden_dim,warmup_epochs,ramp_epochs,stage1_sigma
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_4,Q,0.37005923099321214,0.3342561953981972,0.825863489014824,167.90432659246304,0.5833333333333334,0.7777777777777778,0.6666666666666666,9,12,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_5,Q,0.3549140589009347,0.3182699091393642,0.7161256392780928,159.44161505824107,0.5833333333333334,0.7777777777777778,0.6666666666666666,9,12,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_6,Q,0.4128797967696999,0.38260908692141077,0.8196667613138381,178.86744970434995,0.6666666666666666,0.8888888888888888,0.761904761904762,9,12,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_7,Q,0.38641530914501643,0.36166341318186024,0.8759997236063132,169.38006327621045,0.5833333333333334,0.7777777777777778,0.6666666666666666,9,12,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_8,Q,0.34414681117623,0.33219539520040514,0.6844345368844647,158.48934326836158,0.5833333333333334,0.7777777777777778,0.6666666666666666,9,12,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_9,Q,0.4055600012913029,0.45323353554441276,0.7002169723108311,190.17540074013974,0.5,0.6666666666666666,0.5714285714285715,9,12,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_10,Q,0.4106821738902416,0.45530726091370066,0.7020368512103666,189.97162693028363,0.4166666666666667,0.5555555555555556,0.4761904761904762,9,12,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_11,Q,0.3793485873410721,0.37147574927616034,0.8753904240758468,165.02895768123162,0.5833333333333334,0.7777777777777778,0.6666666666666666,9,12,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_12,Q,0.36645280716435247,0.3313806744493292,0.7200060948891229,160.46616371239995,0.6666666666666666,0.8888888888888888,0.761904761904762,9,12,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_13,Q,0.4455933435965115,0.4733113370452905,0.7283507963490994,200.5129214915724,0.4166666666666667,0.5555555555555556,0.4761904761904762,9,12,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_14,Q,0.33984866509195205,0.3155928700547202,0.6432205209179668,157.74156281261347,0.5833333333333334,0.7777777777777778,0.6666666666666666,9,12,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_15,Q,0.4003634533593296,0.44624975112535026,0.7550828221896001,178.38407223672556,0.5833333333333334,0.7777777777777778,0.6666666666666666,9,12,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_16,Q,0.37331161150443365,0.342213519389621,0.7131580031568411,166.64933610379776,0.5833333333333334,0.7777777777777778,0.6666666666666666,9,12,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_17,Q,0.357567752851052,0.3125012207214835,0.7372207987237959,159.8202091295738,0.5833333333333334,0.7777777777777778,0.6666666666666666,9,12,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_18,Q,0.3546161982699258,0.32078845488198987,0.6882846295204882,170.4862085942839,0.6666666666666666,0.8888888888888888,0.761904761904762,9,12,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_19,Q,0.3958915946524085,0.4381245614255471,0.7243817029109311,182.32921335538194,0.6666666666666666,0.8888888888888888,0.761904761904762,9,12,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_20,Q,0.4074871564431814,0.4524620514392267,0.6941580421802083,190.4302519737575,0.5,0.6666666666666666,0.5714285714285715,9,12,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,Hard_ensemble_1,Q,0.43514869662354294,0.43025620591760216,0.6463191398685252,289.1407576423656,0.3,0.42857142857142855,0.3529411764705882,7,10,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,Hard_ensemble_2,Q,0.4723277328206045,0.4730166009461751,0.6270211285740085,305.4389595670112,0.3,0.42857142857142855,0.3529411764705882,7,10,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,Hard_ensemble_3,Q,0.4616807628988642,0.5140879919982846,0.6121396726083153,307.2837938101564,0.2,0.2857142857142857,0.23529411764705882,7,10,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,Hard_ensemble_4,Q,0.4858247308317105,0.5046900927623659,0.614509514642111,311.8236147535007,0.2,0.2857142857142857,0.23529411764705882,7,10,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,Hard_ensemble_5,Q,0.45660698033403924,0.5133113936786814,0.6170734481009937,303.57380181283054,0.2,0.2857142857142857,0.23529411764705882,7,10,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,Hard_ensemble_6,Q,0.4783756757931095,0.47007008379627346,0.6235776337165645,307.13699590734825,0.3,0.42857142857142855,0.3529411764705882,7,10,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,Hard_ensemble_7,Q,0.4479222461024406,0.41382924832242884,0.6689783752868577,289.69916064271206,0.2,0.2857142857142857,0.23529411764705882,7,10,3,3,64,1500,1100,6.177938360791919
