number,value,datetime_start,datetime_complete,duration,params_distance,params_margin_h,params_prominence_factor,params_sigma,params_window_size,user_attrs_mean_count_error,user_attrs_mean_precision,user_attrs_mean_recall,state
38,0.6463712531853263,2026-07-07 01:02:32.973546,2026-07-07 01:02:33.236148,0 days 00:00:00.262602,19,0.5300204271817572,0.0020095076067884613,4.572916301367944,32,3.8,0.5982584082584081,0.8407113719613719,COMPLETE
39,0.6443240455196977,2026-07-07 01:02:33.236148,2026-07-07 01:02:33.522674,0 days 00:00:00.286526,22,0.5492040543630949,0.0018328913325999807,4.466613691049906,33,2.75,0.6209848484848484,0.7776720501720502,COMPLETE
40,0.6228898083191393,2026-07-07 01:02:33.522674,2026-07-07 01:02:33.830043,0 days 00:00:00.307369,28,0.5547297359585303,0.0018981372115963468,2.8246421780877866,36,1.5,0.6344910644910644,0.707270646020646,COMPLETE
41,0.6439967453688681,2026-07-07 01:02:33.830043,2026-07-07 01:02:34.096424,0 days 00:00:00.266381,22,0.524215679589523,0.0019376938158146102,4.527994275573082,33,2.65,0.6209848484848484,0.7735053835053836,COMPLETE
42,0.6397519270923161,2026-07-07 01:02:34.096424,2026-07-07 01:02:34.375581,0 days 00:00:00.279157,20,0.5015992568273958,0.0017037086597334716,4.4922715872736685,32,3.9,0.5920912420912421,0.8373197635697636,COMPLETE
43,0.6383783805583846,2026-07-07 01:02:34.375581,2026-07-07 01:02:34.627119,0 days 00:00:00.251538,20,0.5103315901454494,0.0016768258687234715,4.596345748604271,33,3.25,0.602544955044955,0.801742562992563,COMPLETE
44,0.6143971820519808,2026-07-07 01:02:34.627119,2026-07-07 01:02:34.927829,0 days 00:00:00.300710,19,0.5032977460086387,0.0024745647962630644,3.916186951989716,38,3.5,0.5844925907425907,0.7918960206460206,COMPLETE
45,0.563786576547446,2026-07-07 01:02:34.927829,2026-07-07 01:02:35.194859,0 days 00:00:00.267030,18,0.531323685777027,0.0010068188035825738,3.053761078170301,33,6.85,0.5136899824032177,0.8847644022644022,COMPLETE
46,0.6144546897073921,2026-07-07 01:02:35.194859,2026-07-07 01:02:35.494615,0 days 00:00:00.299756,21,0.4514971223686108,0.003257774456161011,1.4066669911582053,36,5.6,0.5631292114747998,0.8991890054390055,COMPLETE
47,0.6178195384129168,2026-07-07 01:02:35.494615,2026-07-07 01:02:35.773670,0 days 00:00:00.279055,17,0.5936611655633893,0.0015336300327077799,4.436896284932065,32,5.4,0.5597722294045824,0.8925324675324674,COMPLETE
48,0.6258852180073408,2026-07-07 01:02:35.773670,2026-07-07 01:02:36.043540,0 days 00:00:00.269870,25,0.4795250101593834,0.0020771952398691918,5.467336567625701,38,0.7,0.64887432012432,0.6921113608613608,COMPLETE
49,0.6491216900948021,2026-07-07 01:02:36.043540,2026-07-07 01:02:36.305505,0 days 00:00:00.261965,24,0.5604847878758152,0.0013204773159542498,4.07425640114348,35,2.1,0.6448372460872461,0.7697861860361861,COMPLETE
50,0.643602663900315,2026-07-07 01:02:36.305505,2026-07-07 01:02:36.574896,0 days 00:00:00.269391,24,0.5598952552802478,0.001232149434559014,4.025841246289744,40,1.8,0.6385674048174048,0.7551326451326452,COMPLETE
51,0.6384337386226939,2026-07-07 01:02:36.574896,2026-07-07 01:02:36.869324,0 days 00:00:00.294428,24,0.5551900723313624,0.00127813599833758,4.059039752969805,40,1.7,0.6370522533022533,0.7459659784659786,COMPLETE
52,0.6193109363154455,2026-07-07 01:02:36.869324,2026-07-07 01:02:37.146926,0 days 00:00:00.277602,22,0.5607746590277384,0.00316338817479513,4.708691380577367,35,2.05,0.6092998667998668,0.7264263514263515,COMPLETE
53,0.6313960395992635,2026-07-07 01:02:37.146926,2026-07-07 01:02:37.437242,0 days 00:00:00.290316,23,0.5313609996666853,0.0023362066131404533,3.883659312598708,38,1.5,0.6385794760794761,0.7200044400044401,COMPLETE
54,0.6370841563239261,2026-07-07 01:02:37.437242,2026-07-07 01:02:37.788741,0 days 00:00:00.351499,27,0.3784642610939909,0.0012896984916184694,3.2918711797526554,39,1.55,0.6380555555555556,0.7324510212010213,COMPLETE
55,0.6398912050169958,2026-07-07 01:02:37.791839,2026-07-07 01:02:38.092499,0 days 00:00:00.300660,26,0.5696455603255169,0.0013524208687071145,5.482944767556536,35,1.15,0.6525450937950938,0.7203454878454879,COMPLETE
56,0.6373656871687562,2026-07-07 01:02:38.092499,2026-07-07 01:02:38.337745,0 days 00:00:00.245246,24,0.540733317367542,0.0027495307515606336,2.4985709507395657,28,3.4,0.6021353646353647,0.8145679320679321,COMPLETE
57,0.5159616598008439,2026-07-07 01:02:38.337745,2026-07-07 01:02:38.615210,0 days 00:00:00.277465,4,0.5998309204444988,0.0020359823514516607,6.4280474400159875,37,6.6,0.4822176836321573,0.8093603618603618,COMPLETE
58,0.6523978469370176,2026-07-07 01:02:38.615210,2026-07-07 01:02:38.896334,0 days 00:00:00.281124,22,0.4720677241134845,0.004022268620893365,5.250579006930838,29,2.6,0.6280833055833057,0.7919674769674769,COMPLETE
