number,value,datetime_start,datetime_complete,duration,params_hidden_dim,params_kappa,params_lambda_phys,params_lr_net,params_lr_params,params_n_colloc,params_ramp_epochs,params_warmup_epochs,user_attrs_mean_f1,user_attrs_mean_recon_err,state
10,-0.4503221444757823,2026-07-12 02:29:39.328227,2026-07-12 02:34:56.323434,0 days 00:05:16.995207,96,98.5021018928422,0.6958303979519842,0.0007176889447428811,0.03857346839423388,300,1350,1100,0.5681284898676203,0.5071349934625443,COMPLETE
11,-0.20344610110281314,2026-07-12 02:34:56.325944,2026-07-12 02:39:59.561205,0 days 00:05:03.235261,64,75.03986940162258,9.32102526150741,0.0039314657977675685,1.1229029692286944e-05,800,1100,1500,0.6551477507999246,0.2689608761828056,COMPLETE
12,-0.21522026408303885,2026-07-12 02:39:59.563206,2026-07-12 02:45:00.812417,0 days 00:05:01.249211,64,85.55243572518977,9.968953724707221,0.005944968618220429,6.081933853788314e-05,700,1100,1500,0.6433120020076541,0.2795514642838043,COMPLETE
13,-0.2506094726481231,2026-07-12 02:45:00.814417,2026-07-12 02:50:04.782611,0 days 00:05:03.968194,64,85.09113188977648,4.556372114760636,0.0261925262637941,5.583875209161894e-05,800,1600,1500,0.695551791203965,0.3201646517685196,COMPLETE
14,-0.2160557666028775,2026-07-12 02:50:04.784611,2026-07-12 02:55:26.680568,0 days 00:05:21.895957,64,119.53251634022743,5.501269202965842,0.0006047372623091025,5.30965853651505e-05,900,850,1200,0.6281636238157977,0.2788721289844573,COMPLETE
15,-0.2369047791493919,2026-07-12 02:55:26.683569,2026-07-12 03:01:23.754478,0 days 00:05:57.070909,96,77.18161625633442,4.065455794097718,0.004103652238586881,1.308434761651786e-05,1100,1600,1600,0.6892747349269089,0.3058322526420828,COMPLETE
16,-0.23140435450775015,2026-07-12 03:01:23.756987,2026-07-12 03:06:38.312693,0 days 00:05:14.555706,64,106.18488155220996,9.006020499939698,0.0007426116718087664,0.0003890869442854319,600,850,1000,0.6837191793713533,0.29977627244488547,COMPLETE
17,-0.22387362252012016,2026-07-12 03:06:38.314700,2026-07-12 03:12:17.161407,0 days 00:05:38.846707,64,130.181736782811,3.530596144959663,0.009534890682970112,1.0255159439291005e-05,1300,1350,1300,0.6892747349269089,0.29280109601281107,COMPLETE
18,-0.21880351219015434,2026-07-12 03:12:17.163407,2026-07-12 03:18:00.383054,0 days 00:05:43.219647,64,149.8729523312842,6.281779468109673,0.0029703318287913004,3.5901322420671e-05,2000,850,1700,0.6726080682602422,0.28606431901617857,COMPLETE
19,-0.22216165321198106,2026-07-12 03:18:00.386564,2026-07-12 03:23:21.596731,0 days 00:05:21.210167,16,22.02322438637873,1.006732365150465,0.0003371821400191788,0.0001314585530048056,1000,600,300,0.4554300771692076,0.2677046609289018,COMPLETE
